Z_PK,Z_ENT,Z_OPT,ZUUIDHASH,ZEVENT,ZSOURCE,ZCATEGORYTYPE,ZINTEGERVALUE,ZCOMPATIBILITYVERSION,ZENDDAYOFWEEK,ZENDSECONDOFDAY,ZHASCUSTOMMETADATA,ZHASSTRUCTUREDMETADATA,ZSECONDSFROMGMT,ZSHOULDSYNC,ZSTARTDAYOFWEEK,ZSTARTSECONDOFDAY,ZVALUECLASS,ZVALUEINTEGER,ZVALUETYPECODE,ZSTRUCTUREDMETADATA,ZVALUE,Z9_VALUE,ZIDENTIFIERTYPE,ZQUANTITYTYPE,ZCREATIONDATE,ZLOCALCREATIONDATE,ZCONFIDENCE,ZENDDATE,ZSTARTDATE,ZVALUEDOUBLE,ZDOUBLEVALUE,ZUUID,ZSTREAMNAME,ZVALUESTRING,ZSTRING,ZMETADATA
7026,11,1,5009279970384494658,,282.0,,,0,2,33674,0,1,3600,0,2,33674,1,2007560149083090365,-635635896434291546,5618.0,,,,,722164874.952273,722164874.952273,1.0,722164874.0,722164874.0,2.0075601490830904e+18,,9AF9F4AE-1940-40CF-943D-40533D0F4FF9,/discoverability/signals,com.apple.siri.dictation.siri-request-started,,
7038,11,1,-5908047198557771162,,283.0,,,0,2,58569,0,1,3600,0,2,58569,1,2236308892753624024,-635635896434291546,5618.0,,,,,722189770.031074,722189770.031074,1.0,722189769.0,722189769.0,2.236308892753624e+18,,8A094891-E15B-4EC3-AE31-0FC3951D5A92,/discoverability/signals,com.apple.controlcenter.presented,,
7147,11,1,3946591419841007149,,284.0,,,0,5,67242,0,1,3600,0,5,67242,1,2236308892753624024,-635635896434291546,5618.0,,,,,722457642.424402,722457642.424402,1.0,722457642.0,722457642.0,2.236308892753624e+18,,2F4F19EE-6575-4EF8-A5B7-3FFEDF88F770,/discoverability/signals,com.apple.controlcenter.presented,,
7241,11,1,-1302781277638727971,,285.0,,,0,6,47725,0,1,3600,0,6,47725,1,-6235543431298324028,-635635896434291546,5618.0,,,,,722524525.69664,722524525.69664,1.0,722524525.0,722524525.0,1.2211200642411227e+19,,F464730A-9EA0-43F2-91EC-A2313DE749F9,/discoverability/signals,com.apple.spotlight.invoked,,
7242,11,1,-2922156912055880020,,286.0,,,0,6,47726,0,1,3600,0,6,47726,1,2236308892753624024,-635635896434291546,5618.0,,,,,722524526.112314,722524526.112314,1.0,722524526.0,722524526.0,2.236308892753624e+18,,007F6A8F-4852-4805-AC26-48157C392CAD,/discoverability/signals,com.apple.controlcenter.presented,,
7243,11,1,-5422708081145712284,,287.0,,,0,6,47726,0,1,3600,0,6,47726,1,2236308892753624024,-635635896434291546,5618.0,,,,,722524526.842591,722524526.842591,1.0,722524526.0,722524526.0,2.236308892753624e+18,,3C4A85FA-391C-41C0-BE42-EE16E93A991B,/discoverability/signals,com.apple.controlcenter.presented,,
7351,11,1,5896701244843479652,,288.0,,,0,2,42366,0,1,3600,0,2,42366,1,2687269364483809848,-635635896434291546,5896.0,,,,,722778366.329792,722778366.329792,1.0,722778366.0,722778366.0,2.68726936448381e+18,,F0C3E69B-1DD0-449F-AF70-D02BDDB10603,/discoverability/signals,com.apple.Safari.user-opened-tab,,
7368,11,1,-100512708319542599,,289.0,,,0,2,54004,0,1,3600,0,2,54004,1,2236308892753624024,-635635896434291546,5618.0,,,,,722790004.401851,722790004.401851,1.0,722790004.0,722790004.0,2.236308892753624e+18,,8F7C2022-6E3A-43EC-ADF1-5102F47DE2DA,/discoverability/signals,com.apple.controlcenter.presented,,
8060,11,1,-8799217585914705633,,290.0,,,0,5,33930,0,1,3600,0,5,33930,1,908971599454435065,-635635896434291546,6567.0,,,,,723029130.434395,723029130.434395,1.0,723029130.0,723029130.0,9.089715994544351e+17,,4E9D555A-5971-463D-9AA0-ECF0B82F2C8B,/discoverability/signals,com.apple.screencapture.invoke,,
8061,11,1,-3177828610604906051,,291.0,,,0,5,34916,0,1,3600,0,5,34916,1,908971599454435065,-635635896434291546,6567.0,,,,,723030116.639989,723030116.639989,1.0,723030116.0,723030116.0,9.089715994544351e+17,,1449E6C2-5467-43AF-9F00-207D47EC670C,/discoverability/signals,com.apple.screencapture.invoke,,
